roleId, permissionId
1, 606318bbae23812268265f03
2, 606318bbae23812268265f03
1, 606318bbae23812268265f04
2, 606318bbae23812268265f04
1, 606318bbae23812268265f05
2, 606318bbae23812268265f05
1, 606318bbae23812268265f06
2, 606318bbae23812268265f06
2, 606318bbae23812268265f07
2, 606318bbae23812268265f08
2, 606318bbae23812268265f08
1, 606318bbae23812268265f0a
2, 606318bbae23812268265f0a
1, 606318bbae23812268265f0b
2, 606318bbae23812268265f0b
2, 606318bbae23812268265f0c
2, 606318bbae23812268265f0d
2, 606318bbae23812268265f0e
1, 606318bbae23812268265f0f
2, 606318bbae23812268265f0f
1, 606318bbae23812268265f10
2, 606318bbae23812268265f10
2, 606318bbae23812268265f11
2, 606318bbae23812268265f12
2, 606318bbae23812268265f13
2, 606318bbae23812268265f15
2, 606318bbae23812268265f16
2, 606318bbae23812268265f17
2, 606318bbae23812268265f18
2, 606318bbae23812268265f19
2, 606318bbae23812268265f1a
2, 606318bbae23812268265f1b
1, 606318bbae23812268265f1d
1, 606318bbae23812268265f1e
1, 606318bbae23812268265f1f
1, 606318bbae23812268265f20
1, 606318bbae23812268265f24
1, 606318bbae23812268265f21
1, 606318bbae23812268265f22
1, 606318bbae23812268265f23
1, 606318bbae23812268265f25
1, 606318bbae23812268265f26
1, 606318bbae23812268265f27
1, 606318bbae23812268265f28
1, 606318bbae23812268265f29
2, 606318bbae23812268265f29
1, 606318bbae23812268265f2a
2, 606318bbae23812268265f2a
1, 606318bbae23812268265f2b
1, 606318bbae23812268265f2c
1, 606318bbae23812268265f2d
1, 606318bbae23812268265f2e
1, 6076b0249b351548fd1f9e0b
